"asv","kingdom","phylum","subphylum","class","order","suborder","superfamily","family","subfamily","tribe","genus","species","percent_match","status"
"ASV_18s_27","Metazoa","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Tenebrionoidea","Salpingidae",NA,NA,"Vincenzellus","ruficollis",95.2,"unknown"
"ASV_28s_282","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"hydei",99.8,"unknown"
"ASV_16s_261","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"vulcana",98.1,"unknown"
"ASV_28s_15","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae","Athysanini","Eutettix","pictus",98.6,"unknown"
"ASV_16s_518","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera","Glossata","Papilionoidea","Nymphalidae","Heliconiinae","Argynnini","Fabriciana","adippe",96.9,"unknown"
"ASV_28s_145","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera","Glossata","Hesperioidea","Hesperiidae","Hesperiinae","Hesperiini","Hesperia","comma",96.5,"unknown"
"ASV_28s_445","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera","Glossata","Hesperioidea","Hesperiidae","Hesperiinae","Erionotini","Perrotia","flora",97.4,"unknown"
"ASV_28s_120","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera","Glossata","Hesperioidea","Hesperiidae","Hesperiinae","Erionotini","Perrotia","gala",97.8,"unknown"
"ASV_28s_71","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera","Glossata","Noctuoidea","Notodontidae","Phalerinae",NA,"Phalera","bucephala",97.4,"unknown"
"ASV_28s_164","Metazoa","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Tenebrionoidea","Ciidae","Ciinae",NA,"Cis","sp",92.7,"Native"
"ASV_16s_128","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Empidoidea","Dolichopodidae","Sympycninae",NA,"Campsicnemus","nr",99.4,"Native"
"ASV_16s_4","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Empidoidea","Dolichopodidae","Sympycninae",NA,"Campsicnemus","nr",100,"Native"
"ASV_16s_29","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Tipuloidea","Limoniidae","Limoniinae",NA,"Dicranomyia","grimshawi",96.3,"Native"
"ASV_16s_55","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Tipuloidea","Limoniidae","Limoniinae",NA,"Dicranomyia","grimshawi",96.3,"Native"
"ASV_16s_205","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Empidoidea","Dolichopodidae","Sympycninae",NA,"Eurynogaster","sp",99.4,"Native"
"ASV_16s_393","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Tipuloidea","Limoniidae","Limoniinae",NA,"Limonia","kraussi",98.2,"Native"
"ASV_16s_14","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Tipuloidea","Limoniidae","Limoniinae",NA,"Limonia","swezeyi",100,"Native"
"ASV_16s_116","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Tipuloidea","Limoniidae","Limoniinae",NA,"Limonia","swezeyi",98.8,"Native"
"ASV_16s_28","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Tipuloidea","Limoniidae","Limoniinae",NA,"Limonia","swezeyi",98.8,"Native"
"ASV_16s_362","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Tipuloidea","Limoniidae","Limoniinae",NA,"Limonia","swezeyi",100,"Native"
"ASV_16s_154","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Tipuloidea","Limoniidae","Limoniinae",NA,"Limonia","swezeyi",98.2,"Native"
"ASV_16s_337","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Tipuloidea","Limoniidae","Limoniinae",NA,"Limonia","swezeyi",99.4,"Native"
"ASV_16s_147","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Tipuloidea","Limoniidae","Limoniinae",NA,"Limonia","swezeyi",99.4,"Native"
"ASV_16s_51","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Tipuloidea","Limoniidae","Limoniinae",NA,"Limonia","swezeyi",98.2,"Native"
"ASV_16s_33","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"soonae",100,"Native"
"ASV_16s_22","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","cinerea",100,"Native"
"ASV_16s_21","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","sp",99.4,"Native"
"ASV_16s_16","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","sp",100,"Native"
"ASV_16s_7","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","sp",92.6,"unknown"
"ASV_16s_264","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","sp",93.9,"unknown"
"ASV_16s_270","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","sp",94.4,"unknown"
"ASV_16s_133","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","sp",100,"Native"
"ASV_16s_172","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","sp",93.9,"unknown"
"ASV_16s_244","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","sp",98.8,"Native"
"ASV_16s_254","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","sp",95.7,"unknown"
"ASV_16s_19","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Fulgoroidea","Cixiidae",NA,NA,"Oliarus","cf",96.3,"Native"
"ASV_16s_94","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Fulgoroidea","Cixiidae",NA,NA,"Oliarus","cf",97.5,"Native"
"ASV_16s_78","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Heteroptera","Cimicoidea","Miridae","Orthotylinae","Orthotylini","Orthotylus","sophoroides",95.7,"unknown"
"ASV_28s_175","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"guttifera",98.7,"unknown"
"ASV_16s_25","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae","Delphacinae",NA,"Bambusiphaga","nigropunctata",95.1,"unknown"
"ASV_16s_117","Metazoa","Arthropoda","Hexapoda","Insecta","Neuroptera","Hemerobiiformia",NA,"Hemerobiidae",NA,NA,"Micromus","angustipennis",97.6,"unknown"
"ASV_18s_196","Metazoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Lycosoidea","Ctenidae",NA,NA,"Ctenus","sp",98,"unknown"
"ASV_28s_390","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae","Deltocephalini","Deltocephalus","sp",98.2,"unknown"
"ASV_16s_572","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Sternorrhyncha","Aphidoidea","Aphididae","Aphidinae","Macrosiphini","Myzus","persicae",97.5,"unknown"
"ASV_16s_535","Metazoa","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Cucujoidea","Nitidulidae","Meligethinae",NA,"Brassicogethes","aeneus",100,"unknown"
"ASV_28s_298","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Heteroptera","Cimicoidea","Miridae","Orthotylinae","Orthotylini","Heterotoma","meriopterum",97.3,"Non-native"
"ASV_28s_357","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera","Glossata","Geometroidea","Geometridae","Ennominae",NA,"Peribatodes","rhomboidaria",96.4,"unknown"
"ASV_16s_484","Metazoa","Arthropoda","Hexapoda","Insecta","Psocoptera","Psocomorpha","Pseudocaecilioidea","Trichopsocidae",NA,NA,"Trichopsocus","sp",100,"Non-native"
"ASV_16s_159","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Heteroptera","Cimicoidea","Miridae","Orthotylinae","Orthotylini","Naranjakotta","hyalina",92.2,"unknown"
"ASV_28s_138","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera","Glossata","Noctuoidea","Notodontidae","Phalerinae",NA,"Phalera","bucephala",97.4,"unknown"
"ASV_28s_484","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera","Glossata","Noctuoidea","Notodontidae","Phalerinae",NA,"Phalera","bucephala",96.5,"unknown"
"ASV_28s_48","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera","Glossata","Hesperioidea","Hesperiidae","Pyrginae",NA,"Pyrgus","malvae",96.5,"unknown"
"ASV_28s_179","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera","Glossata","Hesperioidea","Hesperiidae","Pyrginae",NA,"Pyrgus","malvae",96.1,"unknown"
"ASV_16s_118","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"apicata",98.8,"Native"
"ASV_16s_104","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"buccata",99.5,"Native"
"ASV_16s_229","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"dasycnemia",100,"Native"
"ASV_16s_84","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"petalopeza",100,"Native"
"ASV_16s_120","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","angulifera",97.7,"Native"
"ASV_16s_10","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","furculata",99.4,"Native"
"ASV_16s_107","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","furculata",98.8,"Native"
"ASV_16s_31","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","milu",93.3,"unknown"
"ASV_16s_540","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","milu",92.7,"unknown"
"ASV_16s_54","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","ogradyi",100,"Native"
"ASV_16s_458","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,"Nesophrosyne","sp",95.7,"unknown"
"ASV_28s_626","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"euronotus",97.9,"unknown"
"ASV_28s_474","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"sp",99.1,"unknown"
