"Hill number","Mean - ginger","Mean - native","p","t","95% CI","Level"
"q = 0","2.8846","2.1034","0.0014","3.253","[0.3062, 1.2561]","ASV"
"q = 1","2.5221","1.8659","0.0011","3.33","[0.2664, 1.0459]","ASV"
"q = 2","2.3085","1.7339","0.001","3.3524","[0.2356, 0.9135]","ASV"
"q = 0","1.8462","1.4138","4e-04","3.6348","[0.1971, 0.6676]","Order"
"q = 1","1.6668","1.3256","9e-04","3.3813","[0.1416, 0.5408]","Order"
"q = 2","1.5785","1.2799","0.0015","3.2502","[0.1169, 0.4803]","Order"
